,tweet,label
195,not interested in a guncontrol and prochoice advocate gop candidate though i agree dementeddonny is,0
196, brutality rules new year on manus close manus auspol australia refugeeswelcome noborders,1
197,you might be a libtard if libtard sjw liberal politics,1
198, what happened to bargo bummer that you guys stopped the fun wednesday nights bummer dissapointed,0
199,  is anyone flying from glasgow to philadelphia then to poland on the 26th of june campadams,0
200,new a on  and  aw yeah,0
201,waiters gonna wait instagood me photooftheday like picoftheday smile,0
202,    trumpusa when they call us homophobic misogynist they are really saying the,1
203,if krakow is so beautiful then go stay there let us build our love peace here uk i have east european relatives ,1
204,jeffsessions omits decades of records for his ag confirmation hearing no surprise from this weasel,1
205,i am nice i am positive affirmation,0
206, i m not a gun advocate but i think its time for poeple to consider carrying a weapon for protection,0
207,says fatty dumb black people think they can smell lol,1
208,neco really cuz niggas i know what am writing but still amma keep praying god almight,0
209, allahsoil the bear s rapacious hunger for oil also sealed its doom teambts teamsuperjunior,1
210, when are you going to fix the desync on cutscenses for mirrors edge catalyst its been more then a week,0
211,when someone says i m not a racist but,1
212,it is truly sad a who lot of working class men resent being offered help by a woman evolution still has a lot of,1
213, awesome black man gets kkk members to disavow by befriending them blacklivesmatter,1
214, hope everyone has a naked saturday,0
215, this is what shitler is referring to when he ignorantly shouts maga his racist sheep sta bleating,1
216,kids having fun southbeach miamibeach wynwood miami southbeach family familyday,0
217,10 fields to consider if you want to be your own boss,0
218,im so excited to be behind the camera directing writing producing again the quality is better than ever,0
219,sexy cora porn black girl porn,1
220, the pic says otherwise for young girls confined in that kitchen you are void of meaning beyond cheap publicity topoli,1
221,intolerant post brexit britain history shows we can be better than this hugh muir hatecrime uk society,1
222,and how do jews plan on doing the work of god without god matthew 1 23 and they will call him immanuel whic,1
223,thank you to the kind person who decided to have a bit of fun last night and spoil ours whatsthepoint,0
224,there s way too much going on in this world the end is really near,0
225, riyadh is renowned for some of the deadliest traffic in the world 2017in3words,1
226,walked to fo amherst with my babe for a look cutie mine 709 love walk moments,0
227,all good live long bihday ,0
228,now that s not nice we re urging president elect  to denounce through his twitter acct,1
229,and lest we forget the tragic passing of u of arizona alum and former nba player sean rooks,0
230,removal of aap spokesperson alkalamba showcases dictatorial mindset of kejriwal,0
231, the deafening silence from anti racist activists regarding in porn is hard to comprehend  htt,1
232,stop ating my fathers son,1
233,day out to the metro centre meal and cinema yey spoilt,0
234,people aren t protesting trump because a republican won they do so because trump has fuhered,1
235,saturday afternoon drinks and baking fun times drinks vlogger youtuber alcohol winelover foodie yumy lovewine dailyvlogging,0
236, new law makes it acceptable to clip racist cab drivers round the ear satire,1
237,realitycheck policing in america from a cop audiblechannels policebrutality socialjustice,1
238, tell that jeffery beauregard  to quit foolin around and come pick up his hood sheets for saturda,1
239,wish i was black i could have lots of feminists shut down for homophobia,1
240,beautiful sunday evening sunset life free,0
241,happy national coffee cake day everyone coffee cake ,0
242,glad to have some football back euro2016,0
243,pussy keely hazel nude pictures,0
244, funny  can t get rid of 7 1stammendment so many distractions and lousy qb maybe next year probab,1
245,don t forget the women who are misogynists,1
246,holiday fun socially relevant podcast celebrates 70 bewitched xmas ep,1
247, last retro christmasadve for you this year and whilst i do love a good bit of tupperwear i do not want,1
248,heal your fear be online course guides you to your inner power,0
249,love my girl jessiestyman love girlfriend couple forever always,0
250, allahsoil neoliberalism prioritized money and oil over pretty much everything else,1
251, w props jesus was not black nor was he white those who promote the hateful biggotry need to be called vile scum,1
252,the garden of wisdom wisdom saturdaymorning flower saterday vine vine by ,0
253,judge lets rapist johnrkhoward wlk aftr the rape of a special needs blk teen ddnt wnt tht on his record would nevr work n reverse,1
254,working on launching my first community currently in the planning and seed development stage higherlogic,0
255,october is looking good  ,0
256,for perspective only a refresher on and whitesupremacy resist,1
257,i am thankful for vacation days thankful positive,0
258,most likely the us is deploying bc we re and interfering with the genocide within africa stop killing eac,1
259,just because you liberals are self loathing doesn t mean the rest of us are the only weapon you have is to yell,1
260, bihday your majesty,0
261, again  looks like a damned fool for 50 years the usa has openly opposed settlement buliding by israel ,1
262,in dolans waiting for  to launch her ep her suppo act niall st james is unreal too,0
263, don t let the door hit you on your way out sorry ass mofo youdisgustme kickrocks don t come back your white dumbass,1
264,please be kind and like our page on thank you celebrains,0
265,as a manhattan based business brand restopresto is to attend the  marketingweeknyc kickoff event on 6 13,0
266,  it and expose me do it you mean nothing to me expose me as the racist you say i am i am waiting,1
267, sta living life the way you always wanted to atsocialmedia lovelife destress,0
268,i m not a but  is the truth reality,1
269,lik if u cri everi tim,0
270,i want some cereal ain t tryna get up,0
271,allahsoil the term jihad is a highly contested concept teambts teamsuperjunior,1
272,5hrs to go  best get your place in the queue at bill graham enjoy wwdc16 get ready to updateverything,0
273,using multiple acc s pretending as if we can t get u you re not sma enough to fool people coz illiteracy,0
274,no balls to own his coward,1
275,i mean okay nofilter snapchat selfie safetyfirst buckleup cute gay gayboy,0
276,we are bad at selfies selfie sillyfaces cool datenight longhairdontcare boy,0
277,over excited man is attacked by cat while opening present that cat repping trump yo,1
278,happy father s day clapton hackney hackneywick homeon fathersday makeyourfatherhappy fathersday,0
279,new trending gif on  mom and pop mom and pop music mom pop music mom pop couney barnett,0
280,electronic music from bogota colombia puntohost edm dj fashion music,0
281,love instagood photooftheday top tags tbt cute me beautiful followme,0
282,chick gets fucked nude superhero,1
283, a great testimonial from our weightloss patient transformation gastricsleep motivation,0
284,advanced value chain videos at valuechain,1
285,it isn t to target illegals and or criminals it s just plain commonsense   ,1
286,live the c o w s compensatory call in or 641 715 3640 code 564943 iswar,1
287, a very looking damoor this afternoon    ,0
288,we re looking forward to attending the cipd ireland conference workshop cpd onemoreday  ,0
289, president jimmy caer leaving his religion due to,1
290,you might be a libtard if libtard sjw liberal politics,1
291,3 miami officers fired over target practice jokes policebrutality newswithed,1
292,work is depressing me why do we sell our lives,0
293,  will you allow the  to defile the  church with misogyny adultery rape bigotry,1
294,like msian opposition and their claim that bangladeshis voted for bn no evidence yet people believe it anyway,1
295,best lawofattraction resources for healing altwaystoheal healthy is idwp,0
296,  your iconic brand being associated with the trump brand is tarnishing your reputation,1
297,and again  they are flight attendants gender genderequity have a word with your journos,1
298, stepping up his audio game stonecoldcreamery thetazshow humpdaypromos tazmaniax ,0
299,just got done threatening my coworker to give me money and he says black male is illegal smh really,1
300,if you think about it you are the one we love ,1
301,joy first time in the snow joy imisswinter snow sharpei,0
302,the latest the all in one news24 daily thanks to    africa,1
303, sad how people feel they have to treat others like scum just because of their religion race sexuality ect jcpenney r,1
304,traditional fish and chips fishandchips food foodporn foodstagram instafood,0
305,people aren t protesting trump because a republican won they do so because trump has fuhered,1
306, named  one of atlanta s top pr firms,0
307,beautiful sweety,0
308,in case of emergency scroll through smile because  makes everything better akf jaredgifthread,0
309,  ends 2016 with a hopeful message against in the music industry via,1
310,are you just takin the piss now or,1
311,  busy busy twice in my back yard at 2 best summer venues in ny ma region tanglewood soon spac in aug,0
312,all ready to pay xx saturday daughter love pay igers instagood goodtimes,0
313,just watched the first episode of time of death by showtime don t know how i ll recover from this,0
314, sad this is our only pic together but to have you in my life happy bday cutie,0
315, allahsoil the more familiar we become the more difficult it is to stereotype,1
316,travel girl russia bus smile from your hea day new life moscow please smile from your,0
317, homegrown rightie white americans are 100 times more likely to harm you than a refugee fear,1
318,my name in japanese ft these beautiful flowers,0
319,black upenn freshmen added to racist social media account with daily lynching calendar,1
320,thanks to  dulles store for working we us on a return and making a superb replacement purchase toddlermom,0
321,one of my bucket list items ticked tonight i finally saw ice cube live tonight wildlifefestival today was a good day,0
322,are you black feel like the are on you listen retweet tampa miami newyork,1
323,i love you love loveyou rose blue darwing painting iphone beautiful beijing a,0
324,shopnow highwaypay bihday tupac tupac shakur joyent via latino voices more,0
325,listen to  discuss why boys engage in sexualbullying harassment,1
326, putting the final touches on the dpil2016 conference uk edition in nottingham   ht,0
327,now playing kevin kern childhood remembered on melancholy melancholymusic,0
328, teams ready to go dvhsskitrip2017 skirossendale 195daystogo,0
329, beer o clock beer ibiza island isle a rest sunset ibiza2016 friends,0
330,the sun is shining leeds who is ready for all night hour,0
331,i say we because i m speaking collectively i ve always known 2016 showed a lot and white rage is still,1
332,kevin macdonald ethnocentrism is normal and rational race ethnocentrism  altright pegida,1
333,windows10 split screen browser techie sgig 301,0
334, whether you re going to sleep or waking up i hope you re smiling good news awaits you happy day,0
335,was this a last minute event this almost reminds me of the rubio and cruz rallies where you knew they were done,0
336,the 4th remake of hi 5 doesn t have the token asian chick carolsbycandlelight,1
337,i learned not to mourn so not woh life is too sho to waste time on trifles p d,0
338,have my lover stop being angry at me visit us lover friend astrologer love,0
339,everyone blamed black brown communities for crack who s to blame here doublestandard drugs,1
340,exciting evening award ceremony where i will be accompanied by mr p we are staying at the blythswood square hotel as a treat,0
341,ever noticed the word to a non black person and the word nigger to a black person yields almost the same reaction,1
342,while neonazi and altright attack fellow americans with and hate the real enemy laughs at our gates putin,1
343,  thank you 4 making this invention experience possible for so many hs students  drewdesign,0
344,today it so amaziiiiiiinngggggg betterlife latepost selfie jakaa indonesia,0
345,mtv went fullretard on video nzpol auspol merkel retard for hispters mansplaining svpol theview,1
346,i m a dj lol womanofmanyhats instamood love silentdisco network,0
347,japanese lunch lunch lunchtime delicious day like withfriends gnam,0
348,safe ways to heal your acne altwaystoheal healthy healing,0
349,girls night out    friends girlsnightout,0
350,the present moment is filled with joy and happiness if you are attentive you will see it thich nhat hanh now,0
351,why do i keep getting scam job offers,0
352,nervous and excited,0
353, that whole russia trump tiesto whiteamerica too stupid to realise that a young progressive country is gop communism,1
354,donaldtrump i can t wait nothing good of a racist and misogynist misogynist than see to the women like animals,1
355,in just over 2 months we ll be stopping for lunch at exeter s premium dining destination ,0
356, you might be a libtard if libtard sjw liberal politics,1
357,you see the driver i we re talking about africans who speak english fluently but this moron who just got on thou,1
358,thrilled that i m going to go see  in bristol reading southampton later on this year sumocycouktour fuelmyfire,0
359, saturday friends albercada patinaje friends,0
360, they said the other 53 critically injured are bad so they need people to donate blood locally,0
361,enjoying the pool and what s left of the sun on this friday evening hi pooltime,0
362,i am intelligent i am positive affirmation,0
363,like this idea,0
364, nazis continue to target jews businesses in whitefish jewish christians montana na,1
365,save no logins x brokers me change memes love education university,0
366,   smileyong along with kingconrad  make me go through hell ,1
367,depression is not something 2b ashamed of if u feel u feel it staystrong it will get betta mentalillness,0
368,news of the day great with a good coffee  week cully,0
369,woman gets shagged by black man adult riders,1
370,beware the snowball effect blackman pa 2,1
371, i just want to say your maternity range is amazing really good sizing maternity pregnant pregnantbelly baby,0
372, seems its escaped your attention that bashing whites isn t winning you any elections over 1200 dem seats lost 08,1
373, feminismiscancer feminismisterrorism feminismmuktbharat why malevote is ignored ,1
374,is an 83 year old man still young enough to teach him about sexism and what not to say about women help,1
375, allahsoil police kill a substantially larger number of whites every year than they do blacks rac,1
376, allahsoil stones and humans are different but to gravity there s no difference,1
377, i am just waiting for somebody other than you to call me a i don t see anybody doing it,1
378,sad people can t be laid to rest in peace pray orlando orlandoshooting funeral gay,0
379,sometimes your just have to be their for your friends no matter where they live friends longdistance gay lgbt lgbtq,0
380,g o a l s repost from  propey ocean summer life family sydney,0
381,i m actually really handsome if you close your eyes toptags top tags nothappy,0
382,nothing would be more dangerous than to give putinschoice the impression we accept stopracism boycott,1
383,st mark s cathedral we will name racism anti semitism xenophobia as sins komo news,1
384,you re surrounded by people who love you even more than you deserve and yet why are so hateful,0
385,next attack wont be in japan guaranteed smaimmigration zeroattacks istanbul religionofpeace reliability,1
386, you might be a libtard if libtard sjw liberal politics,1
387,    kaaen in the pocket,0
388, allahsoil not all westerners are islamophobes emiratis 2016in4words,1
389, new music coming hear a sneak peek now newmusic freshblood kerrang bbcr1,0
390,every day is a vacay life relax celebrate sunday texas fathersday beram,0
391,now i m unseen i m unheard i m unwanted hated feeling dark dwon r d,0
392, they be pussy pressed,0
393,thank you   we can t wait to see you pieinthesky,0
394, us ambassador says zionism is form of israelisettlements illegalisraelisettlements terrorism,1
395,ag pick jeff sessions scrubs racism from record even tho he once argued this is a felony trumpsamerica,1
396, i have the ssn address home network info and billing info but you still have to speak to my husband failure,1
397,my coffee is telling me to be today smiley face pareidolia smile littlejoys,0
398,in the best mood ever becauseofhim inlove,0
399,one for the road drinks tuesday steaknight wetherspoons dadanddaughter nightout,0
400,feeling broke seriously woh a read america needs a raise and we can get one via ,0
401,it s no surprise that trump s chosen administration is a mere basket of racists though hillary is a liar but,1
402, cover reveal swiftly sharpens the fang radicalisation revenge ,1
403,can math help defeat math literacy adultedu,1
404, but true,0
405,another conservative banned by google any questions,0
406,aww yeah it s all good bing bong bing bong,0
407,check out this flyer for trump yay titties question do we have to bring my own pussy to grab or will pussy be,1
408, although i am not a a bigot or a misogynist so i hope that i still qualify keepyoureyesontheprize mlk,1
409,the truth about suicide rates in young blackboys,0
410,zionism is ultra ohodox jewish children s worksheet says non jews are evil,1
411,home with incredible features unwind over the weekend around the bonfire with your family friends weekend,0
412,  worst customer service in the united states already repoed 2 the better business bureau ,1
413,expes explain the best way to deal with friends family,1
414,repost  with repostapp prayfororlando,0
415, aren t boiledpeanuts green when  cooks em ohthatsrightwewouldntknowshedoesntshare,0
416,chair of congress  rcn16,0
417,summerconces vt chucks beer shelburne museum,0
418,happy tuesday what are we all up to today we have some exciting developments to finish today in answer to our feedback surveys,0
419,its always a white christmas in my household onlywhitechristmas,1
420,  the more he says believe me the more we don t veryrude,0
421,icymi why 2016 was not a complete washout for anti racism by  change antiracism,1
422,have a day terrabitesfood jams desses food,0
423, is this the real aungsansuukyi rohingya genocide persecution asean burma myanmar rape humanrights htt,1
424, fl woman screaming racial slurs aims gun s laser pointer at black mcdonald s customer,1
425,  throws up a paicularly destructive l as she sneers loser,0
426,share i never been thoughj experience i never looked at caucasians any differently watch this,1
427,  but look how passionate they are about ivankatrump on the plane which was fake yet ignore adamsaleh ra,1
428,i swear i m getting worst each day depression help suicide please sad mood depressed,0
429,if you are pa of the 64 2 mil who rejected putinschoice boycott his business hatred must be stoppe,1
430,clickbait much that s a really shitty headline  you should change it,1
431,i am engaging i am positive affirmation,0
432,  we re here at  for a full day of activities just preparing for our first task now,0
433,typical egotistical tweet from  pathetic,0
434,burbank california cou rejects city s appeal in discrimination case against armenian policeman usa,1
435, new video super mario run is sexist christmas ivankatrump manspreading,1
436,no im not attracted to asian ppl bc im not asian what if i tell you no im not attracted to u bc im not inse race here hoe,1
437,it is growing nice minus 2 potatoes got taken homegardening photobomb summeime,0
438,even if 1 of delhi s population have been sensitive enough there would have been no need to tweet this,0
439,grandes decisiones happy thursday zurich switzerland hait girl love follow,0
440,  eva tom thank you happy bihday gin bihday newcastle theyorkshirespirit,0
441,why does this get so low key of a play when trump s foolish request to change judges got wall to wall coverage,1
442,thinking of dad s thanks for all that you do 6150 father s day    ,0
443, wow ranveer is getting the award,0
444,why are you so far away from me missing badly quotestags quote nofilter quotestags app,0
445,rohingya muslims toured by officials myanmar s  and her rul,1
446, hey but the chinese are communists as well oh but they re not white that s right i see dumbingdownofamerica,1
447,be yourself and keep on moving ladies authenticity lady femalehealth healthretreat marbella thyroid fatloss,0
448,father s day to all the proud fathers in the world long life and prosperity,0
449,    because trump is a fascist a bigot misogynist sexualpredator all proven,1
450,ba hoom funny humor jokes joke wordplay innuendo wit witty comedy fun cute,0
451, you too father s day larry bakman,0
452,bihday countdown 8 days 14 almost14,0
453,  yes disgusting and hateful trumpsamerica hateful,1
454,sea shepherd suppoers are racist antiracism seashepherd,1
455, oh my god triggered,1
456, you are a disgusting wohless pig of a human being assuming you are human go play in traffic,1
457,josephjett fatherhood nor shall you engage in aberrant social behavior then call that resultant disdain that is merely common,1
458,this idiot makes my blood boil pig liar,1
459, haha and the best pa is you have another tweet where you explain how the media tells the truth and when it doesn t fail,0
460,smoke good love like like4like likeforlike instalike instafollow l4l,0
461,      indeed typical scumbag riding the trumphate machine sic,1
462,  such a pleasure,0
463,pa of the pack was taken and brainwashed by cheetahs downasquadmember treeouts,0
464,new paladino loving eggs like this shit head are out bitching about obama block early block often spam,1
465,great evening me instagram insta like funny evening lovetotravelalloveheworld,0
466,my friends are a real piece of work always taking advantage of me and tricking me i m so and annoyed right now,0
467,yay except ellen made comments so should we be suppoing her if you say kimburrell made homo resistant,1
